Area,CL District,CL Region,CL State,Date Posted,Housing Category,Location,Price,Time Posted,Title,URL,Num Time,Title Key
None,eby,sfbay,California,9/3/19,rooms & shares,oakland east,750.0,19:30,1 bedroom $750/month,https://sfbay.craigslist.org/eby/roo/d/oakland-1-bedroom-750-month/6970908760.html,,
170ft2,eby,sfbay,California,9/1/19,rooms & shares,berkeley,600.0,11:03,Furnished Room for Male UCB Student,https://sfbay.craigslist.org/eby/roo/d/furnished-room-for-male-ucb-student/6969263255.html,,
130ft2,eby,sfbay,California,8/31/19,rooms & shares,oakland west,775.0,17:51,$775 / 130ft2 - Room with sleeping/storage loft available at ABCO Arts,https://sfbay.craigslist.org/eby/roo/d/emeryville-ft2-room-with-sleeping/6968953290.html,,
None,eby,sfbay,California,8/29/19,rooms & shares,berkeley,550.0,10:58,Tastefully Beatuful 1 Bedroom 1 Bath in a 2bd Apartment - W/D ensuite,https://sfbay.craigslist.org/eby/roo/d/berkeley-tastefully-beatuful-1-bedroom/6967197484.html,,
None,eby,sfbay,California,8/29/19,rooms & shares,oakland hills / mills,720.0,6:23,Come live with us!,https://sfbay.craigslist.org/eby/roo/d/oakland-come-live-with-us/6967079555.html,,
1000ft2,eby,sfbay,California,8/28/19,rooms & shares,oakland north / temescal,775.0,7:05,Occupy my Living Room,https://sfbay.craigslist.org/eby/roo/d/oakland-occupy-my-living-room/6963605213.html,,
500ft2,eby,sfbay,California,9/6/19,sublets & temporary,oakland north / temescal,800.0,20:59,"2week sublet in Oakland/Temescal! Quiet neighborhood, very walkable",https://sfbay.craigslist.org/eby/sub/d/oakland-2week-sublet-in-oakland/6973235927.html,,
150ft2,eby,sfbay,California,9/6/19,rooms & shares,san leandro,650.0,12:52,Room for rent (all utilities included) in Washington Manor,https://sfbay.craigslist.org/eby/roo/d/room-for-rent-all-utilities-included-in/6972921039.html,,
200ft2,eby,sfbay,California,9/6/19,rooms & shares,san leandro,750.0,12:22,Room for rent in Washington Manor (utilities inc,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent-in-washington/6972920647.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,"hercules, pinole, san pablo, el sob",750.0,22:35,Room for rent ( N-Richmond/San Pablo City),https://sfbay.craigslist.org/eby/roo/d/richmond-room-for-rent-richmond-san/6969574439.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,san leandro,630.0,21:32,private  roon,https://sfbay.craigslist.org/eby/roo/d/san-leandro-private-roon/6966874502.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,oakland east,720.0,20:21,Come live with us!,https://sfbay.craigslist.org/eby/roo/d/oakland-come-live-with-us/6969545054.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,alameda,585.0,9:44,Semi - private room for rent in Alameda,https://sfbay.craigslist.org/eby/roo/d/alameda-semi-private-room-for-rent-in/6969157982.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,"hercules, pinole, san pablo, el sob",650.0,8:46,MUST SEE! A beautiful room in Hercules,https://sfbay.craigslist.org/eby/roo/d/hercules-must-see-beautiful-room-in/6969171677.html,,
None,eby,sfbay,California,8/31/19,rooms & shares,san leandro,750.0,21:49,"Quiet, Clean Private Furnished Room Offered",https://sfbay.craigslist.org/eby/roo/d/san-leandro-quiet-clean-private/6969020976.html,,
None,eby,sfbay,California,9/7/19,rooms & shares,san leandro,700.0,22:02,Room 4 rent,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-4-rent/6973932380.html,,
None,eby,sfbay,California,9/7/19,rooms & shares,oakland lake merritt / grand,600.0,19:50,$600 one room for rent near late Merritt,https://sfbay.craigslist.org/eby/roo/d/oakland-600-one-room-for-rent-near-late/6973897333.html,,
None,eby,sfbay,California,9/7/19,rooms & shares,san leandro,760.0,13:13,1 Room Available for Rent in a 3 Bedroom House in San Lorenzo,https://sfbay.craigslist.org/eby/roo/d/san-lorenzo-1-room-available-for-rent/6973691543.html,,
150ft2,eby,sfbay,California,9/7/19,rooms & shares,berkeley north / hills,750.0,12:13,Room for Rent in Beautiful North Berkeley Hills House,https://sfbay.craigslist.org/eby/roo/d/room-for-rent-in-beautiful-north/6973643567.html,,
70ft2,eby,sfbay,California,9/4/19,rooms & shares,oakland west,550.0,11:12,Commuter Roomate Wanted For West Oakland Loft,https://sfbay.craigslist.org/eby/roo/d/oakland-commuter-roomate-wanted-for/6971351968.html,,
None,eby,sfbay,California,9/2/19,rooms & shares,oakland north / temescal,680.0,1:50,North Oakland Community Home + Food & Utilities included,https://sfbay.craigslist.org/eby/roo/d/emeryville-north-oakland-community-home/6969595546.html,,
None,eby,sfbay,California,8/29/19,rooms & shares,oakland east,750.0,7:58,Mature working FM wanted for quiet room,https://sfbay.craigslist.org/eby/roo/d/oakland-mature-working-fm-wanted-for/6960771061.html,,
None,eby,sfbay,California,9/6/19,rooms & shares,san leandro,780.0,21:50,Room for rent,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent/6973245306.html,,
None,eby,sfbay,California,9/6/19,rooms & shares,san leandro,780.0,21:38,room for rent,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent/6973240529.html,,
None,eby,sfbay,California,9/6/19,rooms & shares,san leandro,750.0,14:07,Spacious Room w Mountain Views - Utilities Included!,https://sfbay.craigslist.org/eby/roo/d/oakland-spacious-room-mountain-views/6967596070.html,,
150ft2,eby,sfbay,California,9/6/19,rooms & shares,san leandro,650.0,12:52,Room for rent (all utilities included) in Washington Manor,https://sfbay.craigslist.org/eby/roo/d/room-for-rent-all-utilities-included-in/6972921039.html,,
200ft2,eby,sfbay,California,9/6/19,rooms & shares,san leandro,750.0,12:22,Room for rent in Washington Manor (utilities inc,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent-in-washington/6972920647.html,,
None,eby,sfbay,California,9/5/19,rooms & shares,"hercules, pinole, san pablo, el sob",650.0,18:28,"Privacy, Space and Beautiful view from room.",https://sfbay.craigslist.org/eby/roo/d/hercules-privacy-space-and-beautiful/6972420614.html,,
None,eby,sfbay,California,9/5/19,rooms & shares,san leandro,775.0,16:26,Private master to share with F day sleeper,https://sfbay.craigslist.org/eby/roo/d/san-leandro-private-master-to-share/6970848274.html,,
None,eby,sfbay,California,9/5/19,rooms & shares,san leandro,780.0,11:55,ROOM FOR RENT $780 a month,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent-780-month/6967664035.html,,
None,eby,sfbay,California,9/4/19,rooms & shares,san leandro,750.0,23:25,Furnished Private Room for Female,https://sfbay.craigslist.org/eby/roo/d/san-leandro-furnished-private-room-for/6971769461.html,,
120ft2,eby,sfbay,California,9/4/19,rooms & shares,"hercules, pinole, san pablo, el sob",675.0,21:45,Room for rent in El Sobrante home,https://sfbay.craigslist.org/eby/roo/d/el-sobrante-room-for-rent-in-el/6971751150.html,,
None,eby,sfbay,California,9/4/19,rooms & shares,san leandro,780.0,11:41,ROOM FOR RENT $780,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent-780/6971362509.html,,
100ft2,eby,sfbay,California,9/3/19,rooms & shares,alameda,640.0,15:24,舒適雅房Fremont room for rent,https://sfbay.craigslist.org/eby/roo/d/fremont-fremont-room-for-rent/6959337821.html,,
None,eby,sfbay,California,9/3/19,rooms & shares,"hercules, pinole, san pablo, el sob",750.0,11:41,One room one bath,https://sfbay.craigslist.org/eby/roo/d/pinole-one-room-one-bath/6970618787.html,,
None,eby,sfbay,California,9/3/19,rooms & shares,san leandro,750.0,8:23,Looking for two roommates,https://sfbay.craigslist.org/eby/roo/d/san-leandro-looking-for-two-roommates/6970423487.html,,
None,eby,sfbay,California,9/3/19,rooms & shares,"hercules, pinole, san pablo, el sob",700.0,8:55,Room available in 2 bed Apt.,https://sfbay.craigslist.org/eby/roo/d/san-pablo-room-available-in-2-bed-apt/6970439477.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,"hercules, pinole, san pablo, el sob",750.0,22:35,Room for rent ( N-Richmond/San Pablo City),https://sfbay.craigslist.org/eby/roo/d/richmond-room-for-rent-richmond-san/6969574439.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,san leandro,630.0,21:32,private  roon,https://sfbay.craigslist.org/eby/roo/d/san-leandro-private-roon/6966874502.html,,
110ft2,eby,sfbay,California,9/1/19,rooms & shares,"hercules, pinole, san pablo, el sob",695.0,14:51,Cozy Cottage in the Hills,https://sfbay.craigslist.org/eby/roo/d/san-pablo-cozy-cottage-in-the-hills/6969407343.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,alameda,585.0,9:44,Semi - private room for rent in Alameda,https://sfbay.craigslist.org/eby/roo/d/alameda-semi-private-room-for-rent-in/6969157982.html,,
None,eby,sfbay,California,9/1/19,rooms & shares,"hercules, pinole, san pablo, el sob",650.0,8:46,MUST SEE! A beautiful room in Hercules,https://sfbay.craigslist.org/eby/roo/d/hercules-must-see-beautiful-room-in/6969171677.html,,
